Depth (ft),Density (g/cm^3),Overburden stress (psi),Hydrostatic pore pressure (psi),Overburden gradient (psi/ft),Porosity (-)
1,1,0.438350283,0.44,0.438350283,1
2,1,0.876700567,0.88,0.438350283,1
3,1,1.31505085,1.32,0.438350283,1
4,1,1.753401134,1.76,0.438350283,1
5,1,2.191751417,2.2,0.438350283,1
6,1,2.6301017,2.64,0.438350283,1
7,1,3.068451984,3.08,0.438350283,1
8,1,3.506802267,3.52,0.438350283,1
9,1,3.945152551,3.96,0.438350283,1
10,1,4.383502834,4.4,0.438350283,1
11,1,4.821853117,4.84,0.438350283,1
12,1,5.260203401,5.28,0.438350283,1
13,1,5.698553684,5.72,0.438350283,1
14,1,6.136903968,6.16,0.438350283,1
15,1,6.575254251,6.6,0.438350283,1
16,1,7.013604534,7.04,0.438350283,1
17,1,7.451954818,7.48,0.438350283,1
18,1,7.890305101,7.92,0.438350283,1
19,1,8.328655385,8.36,0.438350283,1
20,1,8.767005668,8.8,0.438350283,1
21,1,9.205355951,9.24,0.438350283,1
22,1,9.643706235,9.68,0.438350283,1
23,1,10.08205652,10.12,0.438350283,1
24,1,10.5204068,10.56,0.438350283,1
25,1,10.95875709,11,0.438350283,1
26,1,11.39710737,11.44,0.438350283,1
27,1,11.83545765,11.88,0.438350283,1
28,1,12.27380794,12.32,0.438350283,1
29,1,12.71215822,12.76,0.438350283,1
30,1,13.1505085,13.2,0.438350283,1
31,1,13.58885879,13.64,0.438350283,1
32,1,14.02720907,14.08,0.438350283,1
33,1,14.46555935,14.52,0.438350283,1
34,1,14.90390964,14.96,0.438350283,1
35,1,15.34225992,15.4,0.438350283,1
36,1,15.7806102,15.84,0.438350283,1
37,1,16.21896049,16.28,0.438350283,1
38,1,16.65731077,16.72,0.438350283,1
39,1,17.09566105,17.16,0.438350283,1
40,1,17.53401134,17.6,0.438350283,1
41,1,17.97236162,18.04,0.438350283,1
42,1,18.4107119,18.48,0.438350283,1
43,1,18.84906219,18.92,0.438350283,1
44,1,19.28741247,19.36,0.438350283,1
45,1,19.72576275,19.8,0.438350283,1
46,1,20.16411304,20.24,0.438350283,1
47,1,20.60246332,20.68,0.438350283,1
48,1,21.0408136,21.12,0.438350283,1
49,1,21.47916389,21.56,0.438350283,1
50,1,21.91751417,22,0.438350283,1
51,1,22.35586445,22.44,0.438350283,1
52,1,22.79421474,22.88,0.438350283,1
53,1,23.23256502,23.32,0.438350283,1
54,1,23.6709153,23.76,0.438350283,1
55,1,24.10926559,24.2,0.438350283,1
56,1,24.54761587,24.64,0.438350283,1
57,1,24.98596615,25.08,0.438350283,1
58,1,25.42431644,25.52,0.438350283,1
59,1,25.86266672,25.96,0.438350283,1
60,1,26.301017,26.4,0.438350283,1
61,1,26.73936729,26.84,0.438350283,1
62,1,27.17771757,27.28,0.438350283,1
63,1,27.61606785,27.72,0.438350283,1
64,1,28.05441814,28.16,0.438350283,1
65,1,28.49276842,28.6,0.438350283,1
66,1,28.9311187,29.04,0.438350283,1
67,1,29.36946899,29.48,0.438350283,1
68,1,29.80781927,29.92,0.438350283,1
69,1,30.24616955,30.36,0.438350283,1
70,1,30.68451984,30.8,0.438350283,1
71,1,31.12287012,31.24,0.438350283,1
72,1,31.56122041,31.68,0.438350283,1
73,1,31.99957069,32.12,0.438350283,1
74,1,32.43792097,32.56,0.438350283,1
75,1,32.87627126,33,0.438350283,1
76,1,33.31462154,33.44,0.438350283,1
77,1,33.75297182,33.88,0.438350283,1
78,1,34.19132211,34.32,0.438350283,1
79,1,34.62967239,34.76,0.438350283,1
80,1,35.06802267,35.2,0.438350283,1
81,1,35.50637296,35.64,0.438350283,1
82,1,35.94472324,36.08,0.438350283,1
83,1,36.38307352,36.52,0.438350283,1
84,1,36.82142381,36.96,0.438350283,1
85,1,37.25977409,37.4,0.438350283,1
86,1,37.69812437,37.84,0.438350283,1
87,1,38.13647466,38.28,0.438350283,1
88,1,38.57482494,38.72,0.438350283,1
89,1,39.01317522,39.16,0.438350283,1
90,1,39.45152551,39.6,0.438350283,1
91,1,39.88987579,40.04,0.438350283,1
92,1,40.32822607,40.48,0.438350283,1
93,1,40.76657636,40.92,0.438350283,1
94,1,41.20492664,41.36,0.438350283,1
95,1,41.64327692,41.8,0.438350283,1
96,1,42.08162721,42.24,0.438350283,1
97,1,42.51997749,42.68,0.438350283,1
98,1,42.95832777,43.12,0.438350283,1
99,1,43.39667806,43.56,0.438350283,1
100,1,43.83502834,44,0.438350283,1
101,1,44.27337862,44.44,0.438350283,1
102,1,44.71172891,44.88,0.438350283,1
103,1,45.15007919,45.32,0.438350283,1
104,1,45.58842947,45.76,0.438350283,1
105,1,46.02677976,46.2,0.438350283,1
106,1,46.46513004,46.64,0.438350283,1
107,1,46.90348032,47.08,0.438350283,1
108,1,47.34183061,47.52,0.438350283,1
109,1,47.78018089,47.96,0.438350283,1
110,1,48.21853117,48.4,0.438350283,1
111,1,48.65688146,48.84,0.438350283,1
112,1,49.09523174,49.28,0.438350283,1
113,1,49.53358202,49.72,0.438350283,1
