Depth (ft),Sv (psi)
5200,5834.549962
5200.5,5835.13491
5201,5835.723225
5201.5,5836.309325
5202,5836.892768
5202.5,5837.47807
5203,5838.065975
5203.5,5838.653017
5204,5839.23771
5204.5,5839.819768
5205,5840.400574
5205.5,5840.9856
5206,5841.573727
5206.5,5842.159152
5207,5842.740966
5207.5,5843.322436
5208,5843.903442
5208.5,5844.48056
5209,5845.058044
5209.5,5845.63741
5210,5846.217308
5210.5,5846.799543
5211,5847.38499
5211.5,5847.975265
5212,5848.57532
5212.5,5849.171997
5213,5849.758883
5213.5,5850.34557
5214,5850.931404
5214.5,5851.523119
5215,5852.127936
5215.5,5852.736895
5216,5853.344946
5216.5,5853.952664
5217,5854.556495
5217.5,5855.160736
5218,5855.766716
5218.5,5856.373958
5219,5856.974423
5219.5,5857.556126
5220,5858.122778
5220.5,5858.680681
5221,5859.251908
5221.5,5859.839171
5222,5860.418858
5222.5,5860.989553
5223,5861.562175
5223.5,5862.145883
5224,5862.739281
5224.5,5863.339114
5225,5863.94351
5225.5,5864.546865
5226,5865.138204
5226.5,5865.72086
5227,5866.304047
5227.5,5866.889638
5228,5867.473368
5228.5,5868.055791
5229,5868.645103
5229.5,5869.243806
5230,5869.846773
5230.5,5870.441102
5231,5871.027512
5231.5,5871.613081
5232,5872.199724
5232.5,5872.786754
5233,5873.372322
5233.5,5873.957548
5234,5874.542972
5234.5,5875.12792
5235,5875.70938
5235.5,5876.289754
5236,5876.870826
5236.5,5877.45346
5237,5878.041609
5237.5,5878.629149
5238,5879.211727
5238.5,5879.792777
5239,5880.37407
5239.5,5880.95532
5240,5881.534276
5240.5,5882.111483
5241,5882.691724
5241.5,5883.274347
5242,5883.856582
5242.5,5884.439481
5243,5885.022957
5243.5,5885.603242
5244,5886.181003
5244.5,5886.75935
5245,5887.336801
5245.5,5887.913532
5246,5888.490085
5246.5,5889.064423
5247,5889.640456
5247.5,5890.218737
5248,5890.798026
5248.5,5891.379176
5249,5891.960381
5249.5,5892.541818
5250,5893.122004
5250.5,5893.697484
5251,5894.271767
5251.5,5894.850026
5252,5895.430256
5252.5,5896.009334
5253,5896.589233
5253.5,5897.170061
5254,5897.749018
5254.5,5898.32587
5255,5898.901006
5255.5,5899.475145
5256,5900.051743
5256.5,5900.628507
5257,5901.20022
5257.5,5901.77313
5258,5902.348277
5258.5,5902.92277
5259,5903.500199
5259.5,5904.078779
5260,5904.656418
5260.5,5905.236914
5261,5905.823379
5261.5,5906.420056
5262,5907.023599
5262.5,5907.618581
5263,5908.203773
5263.5,5908.789353
5264,5909.378288
5264.5,5909.967511
5265,5910.552847
5265.5,5911.134794
5266,5911.715578
5266.5,5912.297802
5267,5912.881167
5267.5,5913.465129
5268,5914.043289
5268.5,5914.62034
5269,5915.202243
5269.5,5915.794833
5270,5916.392839
5270.5,5916.979515
5271,5917.561739
5271.5,5918.144837
5272,5918.728069
5272.5,5919.311035
5273,5919.89451
5273.5,5920.488795
5274,5921.089901
5274.5,5921.678183
5275,5922.256342
5275.5,5922.833616
5276,5923.410612
5276.5,5923.985227
5277,5924.557661
5277.5,5925.130283
5278,5925.703923
5278.5,5926.283866
5279,5926.869623
5279.5,5927.45219
5280,5928.032287
5280.5,5928.60935
5281,5929.18298
5281.5,5929.758049
5282,5930.331191
5282.5,5930.900258
5283,5931.476357
5283.5,5932.068117
5284,5932.664805
5284.5,5933.253253
5285,5933.837193
5285.5,5934.423736
5286,5935.009382
5286.5,5935.597354
5287,5936.189567
5287.5,5936.77621
5288,5937.357459
5288.5,5937.93955
5289,5938.528607
5289.5,5939.119414
5290,5939.702757
5290.5,5940.279908
5291,5940.855731
5291.5,5941.433868
5292,5942.014153
5292.5,5942.597872
5293,5943.181392
5293.5,5943.761811
5294,5944.340922
5294.5,5944.921839
5295,5945.501793
5295.5,5946.078955
5296,5946.657104
5296.5,5947.236614
5297,5947.818882
5297.5,5948.404041
5298,5948.996133
5298.5,5949.596697
5299,5950.200805
5299.5,5950.802432
5300,5951.390215
5300.5,5951.960578
5301,5952.524229
5301.5,5953.090516
5302,5953.661598
5302.5,5954.240898
5303,5954.82382
5303.5,5955.405667
5304,5955.979186
5304.5,5956.543446
5305,5957.124197
5305.5,5957.723498
5306,5958.322512
5306.5,5958.916796
5307,5959.503971
5307.5,5960.087723
5308,5960.672937
5308.5,5961.260698
5309,5961.848094
5309.5,5962.438148
5310,5963.027382
5310.5,5963.611024
5311,5964.206028
5311.5,5964.809383
5312,5965.405417
5312.5,5965.99773
5313,5966.595891
5313.5,5967.199158
5314,5967.801748
5314.5,5968.403785
5315,5969.006819
5315.5,5969.611979
5316,5970.216165
5316.5,5970.81633
5317,5971.416606
5317.5,5972.019662
5318,5972.613714
5318.5,5973.196237
5319,5973.780399
5319.5,5974.369323
5320,5974.960351
5320.5,5975.552964
5321,5976.14057
5321.5,5976.723104
5322,5977.304187
5322.5,5977.884727
5323,5978.468745
5323.5,5979.061236
5324,5979.658056
5324.5,5980.250713
5325,5980.844089
5325.5,5981.44462
5326,5982.045151
5326.5,5982.63784
5327,5983.209654
5327.5,5983.788599
5328,5984.394258
5328.5,5985.001412
5329,5985.606893
5329.5,5986.211665
5330,5986.817723
5330.5,5987.42388
5331,5988.028386
5331.5,5988.630401
5332,5989.231153
5332.5,5989.831906
5333,5990.438229
5333.5,5991.047077
5334,5991.650952
5334.5,5992.252646
5335,5992.855447
5335.5,5993.460441
5336,5994.064693
5336.5,5994.668214
5337,5995.27302
5337.5,5995.879299
5338,5996.486319
5338.5,5997.093562
5339,5997.700283
5339.5,5998.305466
5340,5998.909142
5340.5,5999.510669
5341,6000.109495
5341.5,6000.709084
5342,6001.313801
5342.5,6001.920744
5343,6002.510754
5343.5,6003.051192
5344,6003.593202
5344.5,6004.180487
5345,6004.778814
5345.5,6005.379279
5346,6005.981803
5346.5,6006.58487
5347,6007.182267
5347.5,6007.776761
5348,6008.375509
5348.5,6008.975907
5349,6009.5745
5349.5,6010.170667
5350,6010.771397
5350.5,6011.374442
5351,6011.974751
5351.5,6012.575382
5352,6013.175004
5352.5,6013.772589
5353,6014.368646
5353.5,6014.96664
5354,6015.568334
5354.5,6016.170869
5355,6016.773615
5355.5,6017.374943
5356,6017.971963
5356.5,6018.567621
5357,6019.167432
5357.5,6019.764286
5358,6020.3598
5358.5,6020.956709
5359,6021.548314
5359.5,6022.140981
5360,6022.734092
5360.5,6023.329794
5361,6023.9275
5361.5,6024.522361
5362,6025.120079
5362.5,6025.72237
5363,6026.324507
5363.5,6026.924307
5364,6027.521271
5364.5,6028.115257
5365,6028.711081
5365.5,6029.308511
5366,6029.90676
5366.5,6030.505984
5367,6031.108564
5367.5,6031.711586
5368,6032.310677
5368.5,6032.912426
5369,6033.517487
5369.5,6034.121617
5370,6034.724319
5370.5,6035.324406
5371,6035.917661
5371.5,6036.505334
5372,6037.091268
5372.5,6037.679627
5373,6038.273214
5373.5,6038.868661
5374,6039.468217
5374.5,6040.075072
5375,6040.678227
5375.5,6041.26569
5376,6041.84118
5376.5,6042.41265
5377,6042.981019
5377.5,6043.551503
5378,6044.12675
5378.5,6044.701664
5379,6045.275582
5379.5,6045.849455
5380,6046.425311
5380.5,6047.003138
5381,6047.580854
5381.5,6048.156577
5382,6048.729686
5382.5,6049.303892
5383,6049.877377
5383.5,6050.446333
5384,6051.011391
5384.5,6051.578685
5385,6052.149602
5385.5,6052.714238
5386,6053.268299
5386.5,6053.82567
5387,6054.395368
5387.5,6054.963826
5388,6055.524309
5388.5,6056.082135
5389,6056.640293
5389.5,6057.203013
5390,6057.767373
5390.5,6058.32614
5391,6058.884265
5391.5,6059.44682
5392,6060.009031
5392.5,6060.568518
5393,6061.13424
5393.5,6061.70252
5394,6062.264477
5394.5,6062.832148
5395,6063.407959
5395.5,6063.985122
5396,6064.561199
5396.5,6065.134751
5397,6065.709001
5397.5,6066.287426
5398,6066.867535
5398.5,6067.444675
5399,6068.021162
5399.5,6068.598192
5400,6069.175664
5400.5,6069.753004
5401,6070.330576
5401.5,6070.909921
5402,6071.489254
5402.5,6072.067845
5403,6072.645617
5403.5,6073.222912
5404,6073.799698
5404.5,6074.374535
5405,6074.946659
5405.5,6075.519746
5406,6076.094682
5406.5,6076.66819
5407,6077.242207
5407.5,6077.811927
5408,6078.381138
5408.5,6078.953594
5409,6079.522439
5409.5,6080.094108
5410,6080.669975
5410.5,6081.244956
5411,6081.816924
5411.5,6082.387353
5412,6082.957549
5412.5,6083.524733
5413,6084.093158
5413.5,6084.66568
5414,6085.235156
5414.5,6085.798065
5415,6086.360986
5415.5,6086.922034
5416,6087.4812
5416.5,6088.046545
5417,6088.61827
5417.5,6089.191058
5418,6089.758441
5418.5,6090.321372
5419,6090.882598
5419.5,6091.446603
5420,6092.029979
5420.5,6092.639802
5421,6093.259094
5421.5,6093.864963
5422,6094.44825
5422.5,6095.030817
5423,6095.629088
5423.5,6096.235024
5424,6096.837592
5424.5,6097.430747
5425,6098.019483
5425.5,6098.585903
5426,6099.147416
5426.5,6099.74056
5427,6100.348755
5427.5,6100.955133
5428,6101.55222
5428.5,6102.141255
5429,6102.730799
5429.5,6103.319934
5430,6103.907462
5430.5,6104.494748
5431,6105.080704
5431.5,6105.662728
5432,6106.239547
5432.5,6106.817707
5433,6107.402134
5433.5,6107.986651
5434,6108.570658
5434.5,6109.155263
5435,6109.737276
5435.5,6110.31981
5436,6110.904348
5436.5,6111.491467
5437,6112.07728
5437.5,6112.660256
5438,6113.24176
5438.5,6113.819443
5439,6114.389407
5439.5,6114.961664
5440,6115.542049
5440.5,6116.119245
5441,6116.694248
5441.5,6117.268354
5442,6117.845372
5442.5,6118.421471
5443,6118.997283
5443.5,6119.570447
5444,6120.140511
5444.5,6120.71991
5445,6121.296165
5445.5,6121.862551
5446,6122.428905
5446.5,6122.993973
5447,6123.556894
5447.5,6124.131476
5448,6124.715095
5448.5,6125.290408
5449,6125.861092
